name,oldest,refs,ts_count,youngest
Eodalmanitina macrophtalma,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Heterorthina morgatensis,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Cardiodella lyrata -Polyplacognathus angarense,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Expansograptus jakovlevi / Amplexograptus coelatus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Microzarkodina ozarkodella,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Phragmodus borealis,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Cherskiella notanilis-Ventrigyrus intricatus,Ordovician,"2, 3, 12, 346, 399, 401",0.0,Ordovician
Leoniella,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Megistaspis gigas,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Megistaspis obtusicauda,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Tachilla,Ordovician,"2, 3, 12, 249, 401",0.0,Ordovician
Mukteian,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Hanadir,Ordovician,"2, 3, 12, 249, 401",0.0,Ordovician
Snowtown,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Aber Mawr Shales,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Corn Hill,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Crystal Tuff Lower,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Fishguard Volcanic,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Llyn y Gafr Volcanic,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
White Island Bridge,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Elnes,Ordovician,"2, 3, 12, 17, 28, 401",0.0,Ordovician
Duboviki,Ordovician,"2, 3, 12, 350, 401",0.0,Ordovician
Vämb,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Vikarbyn Limestone,Ordovician,"2, 3, 11, 12, 401",0.0,Ordovician
Estancia San Isidro,Ordovician,"2, 3, 12, 299, 401",0.0,Ordovician
Heggen,Ordovician,"2, 3, 12, 29, 401",0.0,Ordovician
Wells,Ordovician,"2, 3, 12, 50, 401",0.0,Ordovician
MDICE,Ordovician,"2, 3, 12, 17, 21, 401",0.0,Ordovician
Cape Cormorant,Ordovician,"2, 3, 12, 104, 401",0.0,Ordovician
Formation D,Ordovician,"2, 3, 12, 36, 401",0.0,Ordovician
Alpartir,Ordovician,"2, 3, 12, 310, 401",0.0,Ordovician
Marité,Ordovician,"2, 3, 12, 310, 401",0.0,Ordovician
Weston,Ordovician,"2, 3, 12, 376, 401",0.0,Ordovician
Moitiers d'Allonne,Ordovician,"2, 3, 12, 337, 401",0.0,Ordovician
Asaphus Ash,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Didymograptus murchisoni Shales,Ordovician,"2, 3, 12, 240, 401",0.0,Ordovician
Llandeilo Flags,Ordovician,"2, 3, 12, 240, 401",0.0,Ordovician
Llyn-y-Gafr spilitic,Ordovician,"2, 3, 12, 240, 401",0.0,Ordovician
Abereiddi Tuff,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Auchensoul Limestone,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Betton Shale,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Bryanstown,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Bunmahon,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Caerhys Shale,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Cyffredin Shale,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Dunabrattin Shale,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Glendavock,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Lan Flags,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Minuntian,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Uggool,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Weston Flags,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Antelope Valley Limestone Rhysostrophia,Ordovician,"2, 3, 12, 160, 401",0.0,Ordovician
Engervik,Ordovician,"2, 3, 12, 29, 104, 401",0.0,Ordovician
Foum Ez Zeidiya,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Klimoli Lower,Ordovician,"2, 3, 12, 55, 401",0.0,Ordovician
American Tickle,Ordovician,"2, 3, 12, 104, 401",0.0,Ordovician
Black Cove,Ordovician,"2, 3, 12, 104, 401",0.0,Ordovician
New Market Limestone,Ordovician,"2, 3, 12, 114, 401",0.0,Ordovician
Pena Blanca Quartzite,Ordovician,"2, 3, 12, 114, 401",0.0,Ordovician
Darriwilian 3,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Pizarras de Navas de Estena,Ordovician,"2, 3, 12, 366, 401",0.0,Ordovician
Slane,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Abereiddian Upper,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Llanvirnian,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Mid Darriwilian isotope carbon excursion,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
BC2,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Hyssington Volcanic,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Stapeley Volcanic,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Ogygiocaris Shale,Ordovician,"2, 3, 12, 29, 401",0.0,Ordovician
Upper Didymograptus Shale,Ordovician,"2, 3, 12, 29, 401",0.0,Ordovician
Igzert,Ordovician,"2, 3, 12, 304, 401",0.0,Ordovician
Oininirhene,Ordovician,"2, 3, 12, 304, 401",0.0,Ordovician
