name,oldest,youngest,ts_count,refs,rule
Pogonip,Ordovician,Ordovician,0.0,114,6.9
Mc Lish,Ordovician,Ordovician,0.0,113,6.9
Antelope Valley Limestone Asaphid,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Basal,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Leptellina,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Maclurites,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Rhysostrophia,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Sowerbyella,Ordovician,Ordovician,0.0,160,6.9
Antelope Valley Limestone Sponge,Ordovician,Ordovician,0.0,160,6.9
McKelligon Canyon,Ordovician,Ordovician,0.0,114,6.9
Florida Mountain,Ordovician,Ordovician,0.0,56,6.9
Oneota Dolomite,Ordovician,Ordovician,0.0,114,6.9
Shakopee Dolomite,Ordovician,Ordovician,0.0,114,6.9
Benbolt,Ordovician,Ordovician,0.0,80,6.9
Cobbly Limestone,Ordovician,Ordovician,0.0,83,6.9
Collierstown Limestone,Ordovician,Ordovician,0.0,83,6.9
Gratton,Ordovician,Ordovician,0.0,83,6.9
Wardell,Ordovician,Ordovician,0.0,80,6.9
Witten,Ordovician,Ordovician,0.0,80,6.9
Ottosee,Ordovician,Ordovician,0.0,83,6.9
Mile End,Ordovician,Ordovician,0.0,75,6.9
Quareau,Ordovician,Ordovician,0.0,75,6.9
Ashbyan,Ordovician,Ordovician,0.0,39,6.9
Lincolnshire,Ordovician,Ordovician,0.0,80,6.9
Paperville Shale,Ordovician,Ordovician,0.0,199,6.9
Stonehenge Limestone,Ordovician,Ordovician,0.0,114,6.9
Axemann,Ordovician,Ordovician,0.0,59,6.9
Bellefonte,Ordovician,Ordovician,0.0,59,6.9
Nittany Dolomite,Ordovician,Ordovician,0.0,59,6.9
Tongzi,Ordovician,Ordovician,0.0,77,6.9
Gador,Ordovician,Ordovician,0.0,238,6.9
Los Leones,Ordovician,Ordovician,0.0,333,6.9
Los Azules,Ordovician,Ordovician,0.0,294,6.9
Foum Ez Zeidiya,Ordovician,Ordovician,0.0,238,6.9
Formation D,Ordovician,Ordovician,0.0,36,6.9
Expansus Limestone,Ordovician,Ordovician,0.0,11,6.9
Obtusicauda Limestone,Ordovician,Ordovician,0.0,11,6.9
Raniceps Limestone,Ordovician,Ordovician,0.0,11,6.9
Furudal Limestone,Ordovician,Ordovician,0.0,11,6.9
Chasmops Limestone,Ordovician,Ordovician,0.0,11,6.9
Dalmanella Coquina,Ordovician,Ordovician,0.0,145,6.9
Saltillo,Ordovician,Ordovician,0.0,121,6.9
