name,oldest,youngest,ts_count,refs,rule
Tanuchitina elongata,Hirnantian,Hirnantian,0.0,"400, 12",1.0
Normalograptus extraordinarius/ Normalograptus ojsuensis/ Normalograptus mirnyensis,Hirnantian,Hirnantian,0.0,400,1.0
Normalograptus ojsuensis / Normalograptus mirnyensis,Hirnantian,Hirnantian,0.0,400,1.0
Cordylodus prolindstromi,Tremadocian,Tremadocian,0.0,399,1.0
MN faunizone C,Tremadocian,Tremadocian,0.0,244,1.0
MN faunizone D,Tremadocian,Tremadocian,0.0,244,1.0
MN faunizone E,Tremadocian,Tremadocian,0.0,244,1.0
MN faunizone F,Tremadocian,Tremadocian,0.0,244,1.0
MN faunizone G,Tremadocian,Tremadocian,0.0,244,1.0
Didymograptus nitidus,Tremadocian,Tremadocian,0.0,2,1.0
Acodus deltatus / Oneotodus costatus,Tremadocian,Floian,1.0,12,1.0
Adenograptus tenellus,Tremadocian,Tremadocian,0.0,12,1.0
Amphorachitina conifundus,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Aorograptus victoriae,Tremadocian,Tremadocian,0.0,12,1.0
Araneograptus murrayi,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Cordylodus angulatus,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Drepanoistodus amoenus,Tremadocian,Tremadocian,0.0,12,1.0
Hunnegraptus copiosus,Tremadocian,Tremadocian,0.0,12,1.0
Iapetognathus fluctivagus,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Lagenochitina brevicollis,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Lagenochitina destombesi,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Macerodus dianae,Tremadocian,Tremadocian,0.0,12,1.0
Oelanodus elongatus / Acodus deltatus,Floian,Floian,0.0,"400, 12",1.0
Paltodus deltifer,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Paracordylodus gracilis,Tremadocian,Tremadocian,0.0,"400, 12",1.0
Psigraptus,Tremadocian,Tremadocian,0.0,12,1.0
Rhabdinopora flabelliformis s. l.,Tremadocian,Tremadocian,0.0,12,1.0
Rhabdinopora flabelliformis-parabola,Tremadocian,Tremadocian,0.0,12,1.0
Rhabdinopora scitulum / Anisograptus,Tremadocian,Tremadocian,0.0,12,1.0
Rossodus manitouensis,Tremadocian,Tremadocian,0.0,12,1.0
Apheorthis melita,Tremadocian,Tremadocian,0.0,399,1.0
Callograptus kravtsovi / Syringotaenia bystrovi,Tremadocian,Tremadocian,0.0,399,1.0
Cordylodus casey,Tremadocian,Tremadocian,0.0,399,1.0
Eoapatokephalus/ Ijacephalus,Tremadocian,Tremadocian,0.0,399,1.0
Loxodus bransoni - Acodus oneotensis,Tremadocian,Tremadocian,0.0,399,1.0
Adelograptus tenellus/ Anisograptus richardsoni,Tremadocian,Tremadocian,0.0,400,1.0
Bryograptus ramosus/ Rhabdinopora uralense/ Aletograptus hyperboreus,Tremadocian,Tremadocian,0.0,400,1.0
Paroistodus proteus,Tremadocian,Floian,1.0,71,1.0
Rhabdinopora flabelliformis,Tremadocian,Tremadocian,0.0,400,1.0
Tripodus - Drepanodus aff. amoenus,Tremadocian,Tremadocian,0.0,400,1.0
Archiclimacograptus riddellensis,Darriwilian,Darriwilian,0.0,12,1.0
Armoricochitina armoricana / Cyathochitina jenkinsi,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Aulacograptus cucullus,Darriwilian,Darriwilian,0.0,12,1.0
Cahabagnathus friendsvillensis,Darriwilian,Darriwilian,0.0,12,1.0
Cahabagnathus sweeti,Darriwilian,Sandbian,1.0,12,1.0
Desmochitina bulla,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Didymograptus artus,Darriwilian,Darriwilian,0.0,12,1.0
Didymograptus murchisoni,Darriwilian,Darriwilian,0.0,12,1.0
Eoplacognathus suecicus,Darriwilian,Darriwilian,0.0,12,1.0
Eoplacognathus variabilis,Darriwilian,Darriwilian,0.0,12,1.0
Histiodella holodentata,Darriwilian,Darriwilian,0.0,12,1.0
Hustedograptus teretiusculus,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Hyalochitina protocalix,Darriwilian,Darriwilian,0.0,12,1.0
Laufeldochitina clavata,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Linochitina pissotensis,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Phragmodus polonicus,Darriwilian,Darriwilian,0.0,12,1.0
Pseudoclimacograptus decoratus,Darriwilian,Darriwilian,0.0,12,1.0
Pygodus anserinus,Darriwilian,Sandbian,1.0,"400, 12",1.0
Pygodus serra,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Sagittodontina kielcensis,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Siphonochitina formosa,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Undulograptus austrodentatus,Darriwilian,Darriwilian,0.0,"400, 12",1.0
Undulograptus intersitus,Darriwilian,Darriwilian,0.0,12,1.0
Cardiodella lyrata -Polyplacognathus angarense,Darriwilian,Darriwilian,0.0,399,1.0
Cherskiella notanilis-Ventrigyrus intricatus,Darriwilian,Darriwilian,0.0,399,1.0
Evenkina lenaica/ Evenkina anabarensis,Darriwilian,Darriwilian,0.0,399,1.0
Homotellus lenaensis,Darriwilian,Darriwilian,0.0,399,1.0
Lenatoechia,Darriwilian,Darriwilian,0.0,399,1.0
Lenatoechia lenaensis,Darriwilian,Darriwilian,0.0,399,1.0
Mastigograptus datzenkoi,Darriwilian,Darriwilian,0.0,399,1.0
Ortograptus propinquus,Darriwilian,Darriwilian,0.0,399,1.0
Phragmodus flexuosus,Darriwilian,Darriwilian,0.0,399,1.0
Ptiloconus anomalis,Darriwilian,Darriwilian,0.0,399,1.0
Quadrilobella recta,Darriwilian,Darriwilian,0.0,399,1.0
Soanella maslovi,Darriwilian,Darriwilian,0.0,399,1.0
Cyathochitina calyx - protocalix,Darriwilian,Darriwilian,0.0,400,1.0
Didymograptus murchisoni/ Didymograptus geminus,Darriwilian,Darriwilian,0.0,400,1.0
Undulograptus dentatus,Darriwilian,Darriwilian,0.0,400,1.0
Acanthochitina barbata,Katian,Katian,0.0,"400, 12",1.0
Amorphognathus superbus,Katian,Katian,0.0,"400, 12",1.0
Amorphognathus tvaerensis,Sandbian,Katian,1.0,"400, 12",1.0
Ancyrochitina merga,Katian,Katian,0.0,"400, 12",1.0
Aphelognathus divergens,Katian,Katian,0.0,12,1.0
Armoricochitina nigerica,Katian,Katian,0.0,"400, 12",1.0
Baltoniodus alobatus,Sandbian,Katian,1.0,"400, 12",1.0
Belodina confluens,Katian,Katian,0.0,12,1.0
Belonechitina robusta,Katian,Katian,0.0,"400, 12",1.0
Climacograptus wilsoni,Sandbian,Katian,1.0,12,1.0
Climacograptus? uncinatus,Katian,Katian,0.0,12,1.0
Dicellograptus anceps,Katian,Katian,0.0,12,1.0
Dicellograptus complanatus,Katian,Katian,0.0,12,1.0
Dicellograptus complexus,Katian,Katian,0.0,12,1.0
Dicellograptus gravis,Katian,Katian,0.0,12,1.0
Dicellograptus morrisi,Katian,Katian,0.0,12,1.0
Dicranograptus caudatus,Katian,Katian,0.0,12,1.0
Dicranograptus clingani,Katian,Katian,0.0,"400, 12",1.0
Dicranograptus kirki,Katian,Katian,0.0,12,1.0
Diplacanthograptus lanceolatus,Katian,Katian,0.0,12,1.0
Diplacanthograptus spiniferus,Katian,Katian,0.0,12,1.0
Euconochitina tanvillensis,Katian,Katian,0.0,"400, 12",1.0
