name,oldest,youngest,ts_count,refs,rule
Pendeograptus fruticosus / Tetragraptus approximatus,Fl1,Fl1,0.0,2,1.0
Pendeograptus fruticosus 3 / 4br,Fl1,Fl1,0.0,2,1.0
Pendeograptus fruticosus 4br,Fl1,Fl1,0.0,2,1.0
Prioniodus elegans,Fl2,Fl2,0.0,"2, 84",1.0
Tetragraptus approximatus,Fl1,Fl1,0.0,"329, 2",1.0
Oepikodus communis,Fl1,Fl3,2.0,84,1.0
Paroistodus proteus,Fl1,Fl1,0.0,"2, 84",1.0
Reutterodus andinus,Fl2,Fl3,1.0,84,1.0
Acrograptus balticus,Fl2,Fl2,0.0,329,1.0
Phyllograptus densus,Fl2,Fl3,1.0,329,1.0
Didymograptus protobifidus,Fl3,Fl3,0.0,"329, 2",1.0
Isograptus primulus,Fl3,Fl3,0.0,2,1.0
Isograptus victoriae lunatus,Fl3,Fl3,0.0,2,1.0
Adelograptus hunnebergensis,Tr1,Tr1,0.0,2,1.0
Adenograptus tenellus,Tr1,Tr1,0.0,2,1.0
Iapetognathus fluctivagus,Tr1,Tr1,0.0,2,1.0
Psigraptus,Tr1,Tr1,0.0,2,1.0
Rhabdinopora flabelliformis / S. dichotomus,Tr1,Tr1,0.0,2,1.0
Rhabdinopora flabelliformis s. l.,Tr1,Tr1,0.0,2,1.0
Rhabdinopora flabelliformis-parabola,Tr1,Tr1,0.0,2,1.0
Rhabdinopora socialis / flabelliformis / desmograptoides / parabola,Tr1,Tr1,0.0,2,1.0
Cordylodus angulatus,Tr1,Tr1,0.0,84,1.0
low diversity interval,Tr1,Tr2,1.0,84,1.0
Macerodus dianae,Tr1,Tr3,2.0,84,1.0
Rossodus manitouensis,Tr1,Tr1,0.0,84,1.0
Araneograptus murrayi,Tr2,Tr3,1.0,2,1.0
Paltodus deltifer,Tr2,Tr2,0.0,2,1.0
Acodus delicatus,Tr2,Tr3,1.0,84,1.0
Acodus deltatus / Oneotodus costatus,Tr2,Tr3,1.0,84,1.0
Bryograptus ramosus / Triograptus osloensis / Aletograptus hyperboreus ,Tr2,Tr3,1.0,329,1.0
Kiaerograptus kiaeri / Adenograptus tenellus,Tr2,Tr3,1.0,329,1.0
Adelograptus victoriae,Tr3,Tr3,0.0,2,1.0
Hunnegraptus copiosus,Tr3,Tr3,0.0,2,1.0
Rägavere,Ka1,Ka2,1.0,9,2.0
Fairview,Ka1,Ka1,0.0,397,2.0
Kope,Ka1,Ka1,0.0,397,2.0
GICE,Ka1,Ka1,0.0,"17, 9",2.0
Kope isotope carbon excursion,Ka1,Ka1,0.0,"17, 9",2.0
Baksian,Sa2,Ka1,1.0,2,2.0
Berounian,Sa1,Ka2,3.0,"271, 2",2.0
Caradoc,Sa1,Ka2,3.0,2,2.0
Chatfieldian,Ka1,Ka1,0.0,"12, 2",2.0
Cheneyan,Ka1,Ka1,0.0,"12, 2",2.0
Eastonian,Ka1,Ka3,2.0,"12, 2",2.0
Edenian,Ka1,Ka2,1.0,"12, 2",2.0
Keila,Sa2,Sa2,0.0,"17, 2, 12, 9",2.0
Middle Berounian,Sa2,Ka1,1.0,"2, 321",2.0
Mohawkian,Sa1,Ka1,2.0,2,2.0
Neichiashanian,Sa1,Ka3,4.0,"12, 2",2.0
Oandu,Ka1,Ka1,0.0,"17, 2, 12, 9",2.0
Rakvere,Ka1,Ka1,0.0,"17, 2, 12, 9",2.0
Streffordian,Ka1,Ka2,1.0,"12, 2",2.0
Upper Berounian,Ka1,Ka2,1.0,"2, 321",2.0
Viru,Dw3,Ka1,3.0,2,2.0
Glauzy,Ka1,Ka2,1.0,"76, 242",2.0
Louredo,Ka1,Ka2,1.0,"76, 396",2.0
Aziral,Ka1,Ka1,0.0,265,2.0
Cabeco de Peao,Sa2,Ka1,1.0,"286, 265",2.0
Queixoperra,Ka1,Ka1,0.0,265,2.0
Serra da Cadaveira,Ka1,Ka1,0.0,265,2.0
Blidene,Sa2,Ka1,1.0,"19, 9",2.0
Lehtmetsa,Sa2,Ka1,1.0,18,2.0
Saku,Ka1,Ka1,0.0,18,2.0
Vasalemma,Sa2,Ka1,1.0,18,2.0
Caspalá,Ka1,Hi2,5.0,272,2.0
BC6,Ka1,Ka1,0.0,9,2.0
BC7,Ka1,Ka1,0.0,9,2.0
BC8,Ka1,Ka1,0.0,9,2.0
BC9,Ka1,Ka2,1.0,9,2.0
Hirmuse,Ka1,Ka1,0.0,9,2.0
Moldå,Ka1,Ka1,0.0,"17, 47, 9",2.0
Mossen,Ka1,Ka1,0.0,9,2.0
Skagen,Sa2,Ka1,1.0,"17, 9",2.0
Slandrom,Ka1,Ka2,1.0,"17, 9",2.0
Variku,Ka1,Ka1,0.0,9,2.0
Ardwell Farm,Ka1,Ka1,0.0,41,2.0
Dufton Shale,Ka1,Ka1,0.0,41,2.0
Kullsberg Limestone,Ka1,Ka1,0.0,"17, 41",2.0
South Shore,Ka1,Ka2,1.0,41,2.0
Arnestad,Sa1,Ka1,2.0,17,2.0
Copenhagen,Dw3,Ka1,3.0,17,2.0
Denley,Ka1,Ka1,0.0,17,2.0
Freberga,Sa2,Ka1,1.0,17,2.0
Frognerkilen,Ka1,Ka1,0.0,17,2.0
Nakkudden,Ka1,Ka1,0.0,17,2.0
Napanee,Ka1,Ka1,0.0,17,2.0
Selby Limestone,Sa2,Ka1,1.0,17,2.0
Skalberg Limestone,Ka1,Ka1,0.0,17,2.0
Solvang,Ka1,Ka2,1.0,17,2.0
Utica Shale,Ka1,Ka1,0.0,17,2.0
Vinice,Sa2,Ka1,1.0,271,2.0
Zahořany,Ka1,Ka2,1.0,271,2.0
Mydrim Shales,Ka1,Ka2,1.0,"47, 48",2.0
Stewartville,Ka1,Ka1,0.0,47,2.0
Angrensor,Ka1,Ka2,1.0,67,2.0
Bayan,Ka1,Ka2,1.0,67,2.0
Burluk,Ka1,Ka2,1.0,67,2.0
Dulankara,Ka1,Ka2,1.0,67,2.0
Esil,Ka1,Ka1,0.0,67,2.0
Innkehash,Sa1,Ka2,3.0,67,2.0
Namas,Ka1,Ka2,1.0,67,2.0
Sargaldak,Sa2,Ka1,1.0,67,2.0
Talcyboi,Sa2,Ka2,2.0,67,2.0
Tauken,Ka1,Ka2,1.0,67,2.0
Tez,Ka1,Ka2,1.0,67,2.0
Guryanovka,Sa1,Ka4,5.0,281,2.0
Khankhara,Sa1,Ka1,2.0,281,2.0
Arnheim,Ka2,Ka2,0.0,397,2.0
Grant Lake,Ka2,Ka2,0.0,397,2.0
